ocel_id;ocel_time;ocel_changed_field;Amount of Handling Units;Status;Weight
cr8;2023-05-24 17:50:00;;1;empty
cr967;2023-10-31 11:32:11;Weight;;;1170.0
cr996;2023-10-31 11:38:31;;6;empty
cr983;2023-10-31 11:41:26;Weight;;;1140.0
cr976;2023-10-31 14:58:45;Status;;full
cr949;2023-10-31 15:04:43;Status;;full
cr911;2023-10-31 15:08:11;Status;;full
cr943;2023-10-31 15:14:45;;6;empty
cr949;2023-10-31 15:17:16;Weight;;;1230.0
cr1001;2023-10-31 15:18:21;Status;;full
cr989;2023-10-31 15:38:59;Status;;full
cr957;2023-10-31 15:48:15;;6;empty
cr972;2023-10-31 15:49:00;;6;empty
cr911;2023-10-31 15:49:13;Weight;;;1190.0
cr996;2023-10-31 15:49:23;Status;;full
cr989;2023-10-31 15:50:08;Weight;;;1180.0
cr995;2023-10-31 15:58:17;;5;empty
cr961;2023-10-31 15:59:05;;6;empty
cr992;2023-10-31 16:07:18;;6;empty
cr976;2023-10-31 16:08:00;Weight;;;1100.0
cr1001;2023-10-31 16:59:21;Weight;;;1010.0
cr996;2023-10-31 17:00:01;Weight;;;1240.0
cr943;2023-10-31 18:15:03;Status;;full
cr990;2023-11-01 07:25:52;;5;empty
cr943;2023-11-01 07:34:58;Weight;;;1180.0
cr972;2023-11-01 10:31:04;Status;;full
cr995;2023-11-01 10:45:19;Status;;full
cr897;2023-11-01 10:55:02;;1;empty
cr995;2023-11-01 10:56:18;Weight;;;1000.0
cr984;2023-11-01 11:42:05;;6;empty
cr972;2023-11-01 11:42:41;Weight;;;1230.0
cr897;2023-11-01 13:10:25;Status;;full
cr959;2023-11-01 13:23:07;;6;empty
cr897;2023-11-01 13:27:15;Weight;;;200.0
cr990;2023-11-01 14:09:16;Status;;full
cr961;2023-11-01 14:15:42;Status;;full
cr1009;2023-11-01 14:19:20;;5;empty
cr990;2023-11-01 14:20:38;Weight;;;940.0
cr984;2023-11-01 14:20:40;Status;;full
cr957;2023-11-01 14:50:06;Status;;full
cr954;2023-11-01 14:55:23;;6;empty
cr992;2023-11-01 14:55:49;Status;;full
cr961;2023-11-01 14:57:35;Weight;;;1160.0
cr991;2023-11-01 15:21:20;;6;empty
cr984;2023-11-01 15:23:25;Weight;;;1100.0
cr1004;2023-11-01 15:50:14;;6;empty
cr957;2023-11-01 15:54:54;Weight;;;1260.0
cr1009;2023-11-01 16:01:35;Status;;full
cr994;2023-11-01 16:01:40;;6;empty
cr992;2023-11-01 16:08:35;Weight;;;1120.0
cr997;2023-11-01 16:13:57;;2;empty
cr1009;2023-11-01 16:14:35;Weight;;;960.0
cr959;2023-11-01 16:37:22;Status;;full
cr982;2023-11-01 19:18:58;;6;empty
cr997;2023-11-02 07:21:41;Status;;full
cr954;2023-11-02 07:33:40;Status;;full
cr988;2023-11-02 07:41:22;;6;empty
cr964;2023-11-02 09:27:43;;6;empty
cr959;2023-11-02 10:03:13;Weight;;;1190.0
cr954;2023-11-02 10:07:36;Weight;;;1230.0
cr997;2023-11-02 10:08:25;Weight;;;400.0
cr988;2023-11-02 11:23:21;Status;;full
cr991;2023-11-02 11:28:17;Status;;full
cr982;2023-11-02 11:29:41;Status;;full
cr1019;2023-11-02 11:39:36;;6;empty
cr1004;2023-11-02 11:39:53;Status;;full
cr964;2023-11-02 11:40:26;Status;;full
cr994;2023-11-02 11:42:59;Status;;full
cr965;2023-11-02 11:50:25;;6;empty
cr982;2023-11-02 11:59:41;Weight;;;1140.0
cr1014;2023-11-02 13:27:31;;6;empty
cr1012;2023-11-02 13:38:28;;3;empty
cr960;2023-11-02 14:05:00;;6;empty
cr991;2023-11-02 14:06:31;Weight;;;1260.0
cr1019;2023-11-02 14:08:00;Status;;full
cr988;2023-11-02 14:09:10;Weight;;;1190.0
cr1000;2023-11-02 14:11:50;;6;empty
cr974;2023-11-02 14:17:46;;3;empty
cr994;2023-11-02 14:21:48;Weight;;;1140.0
cr1019;2023-11-02 14:22:56;Weight;;;1260.0
cr1004;2023-11-02 14:25:52;Weight;;;1300.0
cr964;2023-11-02 14:26:22;Weight;;;1100.0
cr1012;2023-11-02 14:47:55;Status;;full
cr974;2023-11-02 14:49:33;Status;;full
cr1016;2023-11-02 14:59:23;;4;empty
cr960;2023-11-02 15:59:52;Status;;full
cr974;2023-11-02 16:01:03;Weight;;;600.0
cr986;2023-11-02 16:15:48;;6;empty
cr1012;2023-11-02 16:16:45;Weight;;;600.0
cr960;2023-11-02 17:18:30;Weight;;;1230.0
cr1014;2023-11-02 17:55:03;Status;;full
cr1000;2023-11-02 17:57:37;Status;;full
cr977;2023-11-02 22:49:40;;6;empty
cr1016;2023-11-03 07:51:04;Status;;full
cr948;2023-11-03 09:06:51;;6;empty
cr977;2023-11-03 09:10:08;Status;;full
cr1016;2023-11-03 09:11:59;Weight;;;760.0
cr986;2023-11-03 09:12:57;Status;;full
cr1014;2023-11-03 09:16:16;Weight;;;1230.0
cr1000;2023-11-03 09:25:02;Weight;;;1140.0
cr977;2023-11-03 09:26:06;Weight;;;1140.0
cr986;2023-11-03 09:26:54;Weight;;;1160.0
cr965;2023-11-03 09:34:49;Status;;full
cr948;2023-11-03 09:52:07;Status;;full
cr948;2023-11-03 11:37:51;Weight;;;1190.0
cr965;2023-11-03 11:59:14;Weight;;;1180.0
cr1003;2023-11-03 12:14:38;;6;empty
cr1018;2023-11-03 12:18:55;;6;empty
cr975;2023-11-03 12:46:19;;6;empty
cr1002;2023-11-03 12:49:41;;6;empty
cr1002;2023-11-03 16:35:57;Status;;full
cr1003;2023-11-03 16:45:11;Status;;full
cr1018;2023-11-03 16:54:46;Status;;full
cr1002;2023-11-03 16:56:38;Weight;;;1140.0
cr975;2023-11-03 18:13:38;Status;;full
cr1018;2023-11-03 18:35:37;Weight;;;1260.0
cr1003;2023-11-03 19:07:45;Weight;;;1100.0
cr1030;2023-11-04 01:45:32;;2;empty
cr1022;2023-11-04 12:28:18;;6;empty
cr993;2023-11-04 14:03:31;;6;empty
cr985;2023-11-04 17:52:12;;2;empty
cr978;2023-11-04 21:47:12;;6;empty
cr1005;2023-11-06 08:34:40;;4;empty
cr975;2023-11-06 08:37:21;Weight;;;1210.0
cr985;2023-11-06 11:29:33;Status;;full
cr1030;2023-11-06 11:37:58;Status;;full
cr1005;2023-11-06 11:39:02;Status;;full
cr993;2023-11-06 11:42:29;Status;;full
cr1010;2023-11-06 11:50:08;;6;empty
cr1005;2023-11-06 11:50:47;Weight;;;760.0
cr1032;2023-11-06 13:47:05;;6;empty
cr985;2023-11-06 13:53:02;Weight;;;380.0
cr1015;2023-11-06 14:05:05;;6;empty
cr1030;2023-11-06 14:08:08;Weight;;;400.0
cr1011;2023-11-06 14:16:12;;6;empty
cr993;2023-11-06 14:18:30;Weight;;;1190.0
cr978;2023-11-06 14:22:21;Status;;full
cr1022;2023-11-06 14:26:48;Status;;full
cr1013;2023-11-06 14:33:43;;6;empty
cr978;2023-11-06 14:37:23;Weight;;;1160.0
cr1029;2023-11-06 15:38:11;;6;empty
cr1022;2023-11-06 15:42:58;Weight;;;1180.0
cr1015;2023-11-07 07:59:06;Status;;full
cr1032;2023-11-07 10:07:09;Status;;full
cr999;2023-11-07 10:08:56;;1;empty
cr1015;2023-11-07 10:13:04;Weight;;;1140.0
cr1010;2023-11-07 10:15:47;Status;;full
cr1013;2023-11-07 10:16:44;Status;;full
cr1024;2023-11-07 10:25:51;;6;empty
cr1010;2023-11-07 10:30:54;Weight;;;1170.0
cr999;2023-11-07 10:32:17;Status;;full
cr1029;2023-11-07 10:36:44;Status;;full
cr1011;2023-11-07 10:42:51;Status;;full
cr987;2023-11-07 10:46:36;;6;empty
cr998;2023-11-07 10:47:21;;6;empty
cr1029;2023-11-07 10:48:05;Weight;;;1140.0
cr1032;2023-11-07 10:48:41;Weight;;;1170.0
cr1011;2023-11-07 10:54:24;Weight;;;1100.0
cr1013;2023-11-07 10:57:38;Weight;;;1180.0
cr999;2023-11-07 11:45:05;Weight;;;200.0
cr998;2023-11-07 13:31:07;Status;;full
cr1024;2023-11-07 13:33:26;Status;;full
cr987;2023-11-07 13:35:29;Status;;full
cr998;2023-11-07 13:45:18;Weight;;;1180.0
cr987;2023-11-07 13:48:21;Weight;;;1160.0
cr1024;2023-11-07 13:50:23;Weight;;;1180.0
cr1040;2023-11-07 15:08:27;;6;empty
cr1040;2023-11-07 16:53:02;Status;;full
cr950;2023-11-07 17:19:13;;1;empty
cr1040;2023-11-07 18:36:43;Weight;;;1210.0
cr1017;2023-11-08 05:54:13;;6;empty
cr950;2023-11-08 07:31:07;Status;;full
cr950;2023-11-08 07:53:52;Weight;;;200.0
cr1037;2023-11-08 08:31:25;;1;empty
cr1017;2023-11-08 08:52:13;Status;;full
cr1037;2023-11-08 10:35:59;Status;;full
cr1037;2023-11-08 10:49:11;Weight;;;200.0
cr1017;2023-11-08 11:02:27;Weight;;;1260.0
cr1044;2023-11-08 13:52:04;;6;empty
cr1031;2023-11-08 15:46:24;;6;empty
cr1044;2023-11-08 16:24:48;Status;;full
cr1026;2023-11-08 17:43:46;;6;empty
cr1021;2023-11-08 17:46:33;;6;empty
cr1020;2023-11-08 19:03:06;;2;empty
cr1023;2023-11-08 22:28:25;;6;empty
cr1006;2023-11-09 03:44:58;;6;empty
cr1031;2023-11-09 07:45:38;Status;;full
cr1035;2023-11-09 08:51:08;;4;empty
cr1044;2023-11-09 09:01:35;Weight;;;1120.0
cr1031;2023-11-09 09:51:58;Weight;;;1160.0
cr1023;2023-11-09 13:56:38;Status;;full
cr1020;2023-11-09 15:06:34;Status;;full
cr1023;2023-11-09 15:06:38;Weight;;;1160.0
cr1035;2023-11-09 15:11:05;Status;;full
cr1026;2023-11-09 15:14:17;Status;;full
cr1021;2023-11-09 15:16:51;Status;;full
cr1006;2023-11-09 15:18:23;Status;;full
cr1035;2023-11-09 15:26:11;Weight;;;780.0
cr1021;2023-11-09 15:29:34;Weight;;;1140.0
cr1006;2023-11-09 15:31:59;Weight;;;1190.0
cr1020;2023-11-09 15:48:45;Weight;;;380.0
cr1026;2023-11-09 15:57:31;Weight;;;1210.0
cr1007;2023-11-09 18:46:29;;6;empty
cr1052;2023-11-09 23:22:07;;6;empty
cr1038;2023-11-10 03:38:13;;6;empty
cr1052;2023-11-10 09:34:01;Status;;full
cr1007;2023-11-10 09:36:56;Status;;full
cr1038;2023-11-10 09:39:48;Status;;full
cr1052;2023-11-10 09:53:36;Weight;;;1230.0
cr1038;2023-11-10 09:54:44;Weight;;;1200.0
cr1007;2023-11-10 11:08:50;Weight;;;1120.0
cr1039;2023-11-10 17:05:44;;1;empty
cr1046;2023-11-10 18:39:24;;6;empty
cr1042;2023-11-10 20:20:21;;6;empty
cr1051;2023-11-11 02:27:01;;6;empty
cr1045;2023-11-11 04:37:16;;2;empty
cr1049;2023-11-11 06:19:44;;1;empty
cr1039;2023-11-13 07:21:03;Status;;full
cr1036;2023-11-13 07:43:33;;6;empty
cr1039;2023-11-13 07:58:17;Weight;;;200.0
cr1046;2023-11-13 11:58:31;Status;;full
cr1045;2023-11-13 13:06:58;Status;;full
cr1049;2023-11-13 13:24:11;Status;;full
cr1047;2023-11-13 13:37:58;;6;empty
cr1049;2023-11-13 13:40:21;Weight;;;200.0
cr1042;2023-11-13 13:40:44;Status;;full
cr1036;2023-11-13 13:58:19;Status;;full
cr1057;2023-11-13 14:09:40;;6;empty
cr1061;2023-11-13 14:10:35;;6;empty
cr1045;2023-11-13 14:11:30;Weight;;;360.0
cr1046;2023-11-13 14:14:12;Weight;;;1170.0
cr1057;2023-11-13 14:49:13;Status;;full
cr1047;2023-11-13 14:56:14;Status;;full
cr1061;2023-11-13 14:56:15;Status;;full
cr1051;2023-11-13 14:59:56;Status;;full
cr1034;2023-11-13 15:10:00;;6;empty
cr1042;2023-11-13 15:11:00;Weight;;;1140.0
cr1062;2023-11-13 15:41:12;;4;empty
cr1036;2023-11-13 15:45:33;Weight;;;1300.0
cr1070;2023-11-13 16:03:35;;6;empty
cr1047;2023-11-13 16:05:51;Weight;;;1170.0
cr1041;2023-11-13 16:22:58;;6;empty
cr1057;2023-11-13 16:25:24;Weight;;;1120.0
cr1055;2023-11-13 16:36:59;;6;empty
cr1061;2023-11-13 16:41:56;Weight;;;1120.0
cr1053;2023-11-13 16:43:52;;3;empty
cr1051;2023-11-13 16:52:08;Weight;;;1210.0
cr1062;2023-11-13 16:56:10;Status;;full
cr1070;2023-11-13 16:56:40;Status;;full
cr1060;2023-11-13 18:24:50;;6;empty
cr1070;2023-11-13 18:51:19;Weight;;;1160.0
cr1034;2023-11-14 08:07:21;Status;;full
cr1059;2023-11-14 08:27:49;;6;empty
cr1067;2023-11-14 08:27:57;;3;empty
cr1062;2023-11-14 08:29:34;Weight;;;830.0
cr1034;2023-11-14 08:31:38;Weight;;;1140.0
cr1059;2023-11-14 11:10:50;Status;;full
cr1060;2023-11-14 11:14:26;Status;;full
cr1041;2023-11-14 11:17:30;Status;;full
cr1053;2023-11-14 11:18:06;Status;;full
cr1066;2023-11-14 11:20:46;;6;empty
cr1059;2023-11-14 11:22:11;Weight;;;1160.0
cr1056;2023-11-14 11:24:29;;6;empty
cr1075;2023-11-14 11:27:43;;2;empty
cr1060;2023-11-14 11:28:09;Weight;;;1160.0
cr1041;2023-11-14 11:28:17;Weight;;;1120.0
cr1055;2023-11-14 11:28:33;Status;;full
cr1075;2023-11-14 11:54:21;Status;;full
cr1048;2023-11-14 11:58:17;;6;empty
cr1053;2023-11-14 12:00:00;Weight;;;600.0
cr1054;2023-11-14 13:40:01;;6;empty
cr1055;2023-11-14 13:41:43;Weight;;;1190.0
cr1075;2023-11-14 14:01:38;Weight;;;360.0
cr1067;2023-11-14 14:17:39;Status;;full
cr1048;2023-11-14 14:37:49;Status;;full
cr1056;2023-11-14 14:38:21;Status;;full
cr1066;2023-11-14 14:42:13;Status;;full
cr1056;2023-11-14 14:49:44;Weight;;;1100.0
cr1048;2023-11-14 14:52:02;Weight;;;1160.0
cr1066;2023-11-14 14:53:02;Weight;;;1210.0
cr1067;2023-11-14 14:58:35;Weight;;;580.0
cr1054;2023-11-14 15:58:00;Status;;full
cr1078;2023-11-14 16:46:47;;6;empty
cr1054;2023-11-14 17:49:43;Weight;;;1160.0
cr1077;2023-11-15 06:15:32;;1;empty
cr1058;2023-11-15 08:02:40;;3;empty
cr1078;2023-11-15 08:10:11;Status;;full
cr1078;2023-11-15 08:33:31;Weight;;;1190.0
cr1077;2023-11-15 09:00:51;Status;;full
cr1077;2023-11-15 09:11:27;Weight;;;180.0
cr1058;2023-11-15 09:54:47;Status;;full
cr1058;2023-11-15 11:31:41;Weight;;;580.0
cr1082;2023-11-15 18:23:36;;6;empty
cr1064;2023-11-16 04:46:37;;6;empty
cr958;2023-11-16 06:49:13;;4;empty
cr1076;2023-11-16 08:36:28;;6;empty
cr1089;2023-11-16 08:43:01;;6;empty
cr1076;2023-11-16 11:23:47;Status;;full
cr1090;2023-11-16 11:31:15;;1;empty
cr1089;2023-11-16 11:37:56;Status;;full
cr1064;2023-11-16 11:39:58;Status;;full
cr1076;2023-11-16 11:43:23;Weight;;;1180.0
cr1082;2023-11-16 11:51:20;Status;;full
cr1090;2023-11-16 11:52:27;Status;;full
cr958;2023-11-16 11:54:54;Status;;full
cr1089;2023-11-16 11:56:11;Weight;;;1160.0
cr1008;2023-11-16 12:52:28;;6;empty
cr958;2023-11-16 14:05:29;Weight;;;780.0
cr1064;2023-11-16 14:06:42;Weight;;;1230.0
cr1082;2023-11-16 14:34:13;Weight;;;1140.0
cr1090;2023-11-16 14:37:40;Weight;;;180.0
cr1050;2023-11-16 14:59:03;;6;empty
cr1008;2023-11-16 15:10:38;Status;;full
cr1008;2023-11-16 15:23:03;Weight;;;1260.0
cr1050;2023-11-16 16:34:00;Status;;full
cr1050;2023-11-16 16:50:21;Weight;;;1140.0
cr1063;2023-11-16 19:29:26;;6;empty
cr1063;2023-11-17 10:06:27;Status;;full
cr1063;2023-11-17 10:57:56;Weight;;;1120.0
cr1095;2023-11-17 16:22:32;;6;empty
cr1025;2023-11-17 18:04:48;;2;empty
cr1086;2023-11-18 08:00:32;;5;empty
cr1087;2023-11-18 08:39:12;;6;empty
cr1108;2023-11-18 22:57:23;;6;empty
cr1071;2023-11-19 09:40:18;;6;empty
cr1095;2023-11-20 07:52:21;Status;;full
cr1025;2023-11-20 09:16:23;Status;;full
cr1071;2023-11-20 09:21:03;Status;;full
cr1087;2023-11-20 09:24:48;Status;;full
cr1079;2023-11-20 09:31:37;;6;empty
cr1071;2023-11-20 09:34:21;Weight;;;1210.0
cr1091;2023-11-20 09:36:07;;6;empty
cr1087;2023-11-20 09:37:55;Weight;;;1160.0
cr1086;2023-11-20 09:57:38;Status;;full
cr1092;2023-11-20 10:03:22;;2;empty
cr1095;2023-11-20 10:06:28;Weight;;;1120.0
cr1028;2023-11-20 10:17:42;;6;empty
cr1025;2023-11-20 10:20:11;Weight;;;400.0
cr1108;2023-11-20 10:35:45;Status;;full
cr1096;2023-11-20 10:46:22;;3;empty
cr1108;2023-11-20 10:47:30;Weight;;;1120.0
cr1104;2023-11-20 11:06:19;;6;empty
cr1079;2023-11-20 11:09:42;Status;;full
cr1086;2023-11-20 11:10:20;Weight;;;960.0
cr1091;2023-11-20 11:50:55;Status;;full
cr1099;2023-11-20 11:54:24;;6;empty
cr1104;2023-11-20 11:57:32;Status;;full
cr1079;2023-11-20 11:58:51;Weight;;;1180.0
cr1098;2023-11-20 13:53:07;;6;empty
cr1091;2023-11-20 13:55:14;Weight;;;1180.0
cr1096;2023-11-20 14:00:25;Status;;full
cr1097;2023-11-20 14:08:02;;6;empty
cr1104;2023-11-20 14:09:02;Weight;;;1190.0
cr1096;2023-11-20 14:13:55;Weight;;;630.0
cr1028;2023-11-20 14:16:32;Status;;full
cr1092;2023-11-20 14:52:43;Status;;full
cr1028;2023-11-20 15:17:33;Weight;;;1180.0
cr1099;2023-11-20 15:42:41;Status;;full
cr1099;2023-11-20 15:59:29;Weight;;;1160.0
cr1098;2023-11-20 16:26:45;Status;;full
cr1094;2023-11-20 16:30:34;;6;empty
cr1098;2023-11-20 16:47:05;Weight;;;1210.0
cr1092;2023-11-20 16:58:06;Weight;;;400.0
cr1097;2023-11-20 17:15:01;Status;;full
cr1033;2023-11-20 17:44:33;;6;empty
cr1093;2023-11-20 19:36:31;;6;empty
cr1074;2023-11-20 21:25:59;;6;empty
cr1112;2023-11-20 21:42:40;;6;empty
cr1065;2023-11-21 08:00:11;;6;empty
cr1097;2023-11-21 08:06:43;Weight;;;1160.0
cr1033;2023-11-21 10:38:43;Status;;full
cr1065;2023-11-21 10:38:55;Status;;full
cr1074;2023-11-21 10:46:08;Status;;full
cr1112;2023-11-21 10:48:01;Status;;full
cr1072;2023-11-21 10:48:51;;5;empty
cr1073;2023-11-21 10:48:58;;6;empty
cr1065;2023-11-21 10:50:50;Weight;;;1210.0
cr1093;2023-11-21 10:52:28;Status;;full
cr1033;2023-11-21 10:53:14;Weight;;;1250.0
cr1103;2023-11-21 10:57:50;;6;empty
cr1094;2023-11-21 11:01:56;Status;;full
cr1101;2023-11-21 11:11:42;;6;empty
cr1094;2023-11-21 11:12:51;Weight;;;1140.0
cr1100;2023-11-21 11:55:01;;5;empty
cr1093;2023-11-21 11:57:20;Weight;;;1140.0
cr1112;2023-11-21 12:00:03;Weight;;;1140.0
cr1102;2023-11-21 12:12:13;;6;empty
cr1074;2023-11-21 13:15:33;Weight;;;1140.0
cr1102;2023-11-21 14:54:51;Status;;full
cr1100;2023-11-21 14:59:23;Status;;full
cr1072;2023-11-21 15:58:44;Status;;full
cr1117;2023-11-21 15:59:45;;6;empty
cr1027;2023-11-21 16:08:39;;6;empty
cr1100;2023-11-21 16:09:45;Weight;;;980.0
cr1102;2023-11-21 17:01:35;Weight;;;1180.0
cr1073;2023-11-21 17:01:38;Status;;full
cr1114;2023-11-21 17:10:04;;6;empty
cr1072;2023-11-21 17:19:42;Weight;;;940.0
cr1043;2023-11-21 17:35:30;;3;empty
cr1101;2023-11-21 17:47:50;Status;;full
cr1073;2023-11-21 17:52:12;Weight;;;1230.0
cr1115;2023-11-22 07:48:59;;6;empty
cr1101;2023-11-22 07:50:48;Weight;;;1140.0
cr1115;2023-11-22 09:31:54;Status;;full
cr1043;2023-11-22 09:33:20;Status;;full
cr1114;2023-11-22 09:37:18;Status;;full
cr1117;2023-11-22 09:38:45;Status;;full
cr1027;2023-11-22 09:39:46;Status;;full
cr1116;2023-11-22 09:43:21;;6;empty
cr1043;2023-11-22 09:44:29;Weight;;;560.0
cr1103;2023-11-22 09:45:32;Status;;full
cr1084;2023-11-22 09:49:51;;6;empty
cr1027;2023-11-22 09:50:49;Weight;;;1170.0
cr1120;2023-11-22 09:55:45;;6;empty
cr1103;2023-11-22 09:56:19;Weight;;;1120.0
cr1113;2023-11-22 10:43:54;;1;empty
cr1115;2023-11-22 10:46:20;Weight;;;1190.0
cr1118;2023-11-22 10:54:36;;1;empty
cr1114;2023-11-22 10:55:39;Weight;;;1250.0
cr1107;2023-11-22 10:57:16;;6;empty
cr1117;2023-11-22 10:58:24;Weight;;;1100.0
cr1113;2023-11-22 11:48:39;Status;;full
cr1120;2023-11-22 11:50:19;Status;;full
cr1116;2023-11-22 11:53:38;Status;;full
cr1084;2023-11-22 13:14:30;Status;;full
cr1107;2023-11-22 13:32:31;Status;;full
cr1084;2023-11-22 13:34:16;Weight;;;1180.0
cr1107;2023-11-22 13:45:51;Weight;;;1280.0
cr1118;2023-11-22 14:07:05;Status;;full
cr1118;2023-11-22 14:18:35;Weight;;;180.0
cr1113;2023-11-22 14:28:15;Weight;;;200.0
cr1120;2023-11-22 14:30:20;Weight;;;1210.0
cr1116;2023-11-22 14:38:50;Weight;;;1260.0
cr1129;2023-11-22 16:40:34;;1;empty
cr1136;2023-11-22 17:52:51;;6;empty
cr1129;2023-11-22 17:57:38;Status;;full
cr1123;2023-11-22 18:14:20;;6;empty
cr1081;2023-11-23 02:44:44;;6;empty
cr1088;2023-11-23 04:06:15;;4;empty
cr1088;2023-11-23 09:21:01;Status;;full
cr1123;2023-11-23 09:35:19;Status;;full
cr1136;2023-11-23 09:39:07;Status;;full
cr1081;2023-11-23 09:49:05;Status;;full
cr1136;2023-11-23 11:06:58;Weight;;;1120.0
cr1129;2023-11-23 11:09:44;Weight;;;250.0
cr1123;2023-11-23 11:20:55;Weight;;;1140.0
cr1088;2023-11-23 11:21:38;Weight;;;760.0
cr1081;2023-11-23 11:26:47;Weight;;;1240.0
cr1138;2023-11-23 16:27:46;;6;empty
cr1135;2023-11-23 21:59:54;;1;empty
cr1130;2023-11-24 02:25:33;;6;empty
cr1144;2023-11-24 03:33:26;;4;empty
cr1138;2023-11-24 07:29:01;Status;;full
cr1135;2023-11-24 08:56:34;Status;;full
cr1138;2023-11-24 08:59:27;Weight;;;1160.0
cr1135;2023-11-24 10:08:36;Weight;;;180.0
cr1137;2023-11-24 11:16:55;;1;empty
cr1144;2023-11-24 13:02:36;Status;;full
cr1137;2023-11-24 13:10:34;Status;;full
cr1130;2023-11-24 13:18:06;Status;;full
cr1144;2023-11-24 14:08:21;Weight;;;810.0
cr1137;2023-11-24 14:23:18;Weight;;;200.0
cr1130;2023-11-24 14:35:22;Weight;;;1260.0
cr1105;2023-11-24 17:34:45;;6;empty
cr1150;2023-11-24 17:35:34;;4;empty
cr1146;2023-11-24 20:35:47;;1;empty
cr1149;2023-11-24 22:07:58;;6;empty
cr1122;2023-11-25 00:37:29;;6;empty
cr1125;2023-11-25 04:08:29;;6;empty
cr1122;2023-11-27 09:57:29;Status;;full
cr1146;2023-11-27 09:59:12;Status;;full
cr1105;2023-11-27 10:59:28;Status;;full
cr1149;2023-11-27 11:04:32;Status;;full
cr1150;2023-11-27 11:04:55;Status;;full
cr1158;2023-11-27 11:06:06;;2;empty
cr1125;2023-11-27 11:06:36;Status;;full
cr1106;2023-11-27 11:09:20;;6;empty
cr1109;2023-11-27 11:15:18;;6;empty
cr1139;2023-11-27 11:16:04;;6;empty
cr1158;2023-11-27 11:34:06;Status;;full
cr1142;2023-11-27 11:50:41;;6;empty
cr1146;2023-11-27 11:57:36;Weight;;;180.0
cr1157;2023-11-27 12:09:35;;6;empty
cr1111;2023-11-27 13:57:11;;6;empty
cr1105;2023-11-27 14:00:21;Weight;;;1180.0
cr1125;2023-11-27 14:14:11;Weight;;;1160.0
cr1122;2023-11-27 14:16:29;Weight;;;1120.0
cr1150;2023-11-27 14:17:32;Weight;;;880.0
cr1149;2023-11-27 14:22:32;Weight;;;1190.0
cr1139;2023-11-27 14:29:46;Status;;full
cr1127;2023-11-27 14:40:54;;6;empty
cr1139;2023-11-27 14:42:13;Weight;;;1160.0
cr1158;2023-11-27 14:57:22;Weight;;;360.0
cr1106;2023-11-27 15:05:10;Status;;full
cr1121;2023-11-27 15:49:40;;4;empty
cr1106;2023-11-27 15:55:30;Weight;;;1180.0
cr1142;2023-11-27 16:05:24;Status;;full
cr1109;2023-11-27 16:10:55;Status;;full
cr1148;2023-11-27 16:24:38;;6;empty
cr1109;2023-11-27 16:29:13;Weight;;;1140.0
cr1111;2023-11-27 16:46:28;Status;;full
cr1127;2023-11-27 16:58:11;Status;;full
cr1151;2023-11-27 17:08:13;;6;empty
cr1142;2023-11-27 17:15:45;Weight;;;1120.0
cr1143;2023-11-27 17:46:31;;6;empty
cr1111;2023-11-27 19:04:58;Weight;;;1140.0
cr1124;2023-11-27 19:16:44;;2;empty
cr1157;2023-11-28 07:14:13;Status;;full
cr1127;2023-11-28 07:35:09;Weight;;;1100.0
cr1160;2023-11-28 08:48:15;;6;empty
cr1157;2023-11-28 08:54:30;Weight;;;1160.0
cr1121;2023-11-28 09:17:35;Status;;full
cr1154;2023-11-28 09:27:52;;3;empty
cr1121;2023-11-28 09:33:50;Weight;;;810.0
cr1148;2023-11-28 09:35:54;Status;;full
cr1151;2023-11-28 09:44:43;Status;;full
cr1154;2023-11-28 09:55:17;Status;;full
cr1147;2023-11-28 10:52:07;;6;empty
cr1148;2023-11-28 10:55:06;Weight;;;1140.0
cr1143;2023-11-28 11:02:28;Status;;full
cr1154;2023-11-28 11:03:51;Weight;;;600.0
cr1160;2023-11-28 11:08:45;Status;;full
cr1151;2023-11-28 11:11:48;Weight;;;1260.0
cr1143;2023-11-28 11:13:18;Weight;;;1230.0
cr1124;2023-11-28 11:17:23;Status;;full
cr1160;2023-11-28 11:20:26;Weight;;;1210.0
cr1141;2023-11-28 11:21:05;;3;empty
cr1124;2023-11-28 11:31:01;Weight;;;380.0
cr1147;2023-11-28 13:30:58;Status;;full
cr1147;2023-11-28 13:46:40;Weight;;;1240.0
cr1141;2023-11-28 14:15:17;Status;;full
cr1163;2023-11-28 14:50:46;;6;empty
cr1153;2023-11-28 14:52:22;;6;empty
cr1141;2023-11-28 14:58:45;Weight;;;630.0
cr1167;2023-11-28 15:28:37;;3;empty
cr1163;2023-11-28 17:53:25;Status;;full
cr1153;2023-11-28 17:59:10;Status;;full
cr1126;2023-11-28 18:04:49;;6;empty
cr1145;2023-11-29 02:57:28;;6;empty
cr1167;2023-11-29 07:57:50;Status;;full
cr1153;2023-11-29 09:07:04;Weight;;;1160.0
cr1167;2023-11-29 09:19:35;Weight;;;650.0
cr1163;2023-11-29 10:00:23;Weight;;;1230.0
cr1145;2023-11-29 10:22:27;Status;;full
cr1126;2023-11-29 10:23:03;Status;;full
cr1126;2023-11-29 10:33:14;Weight;;;1160.0
cr1145;2023-11-29 10:36:34;Weight;;;1140.0
cr1083;2023-11-29 11:31:49;;2;empty
cr1083;2023-11-29 11:57:05;Status;;full
